0960 20001001 008751 000000 BINGHAMTON, NY
0960 20011001 008690 000000 BINGHAMTON, NY
0960 20021001 008446 000000 BINGHAMTON, NY
0960 20031001 008341 000000 BINGHAMTON, NY
0960 20050101 008447 000000 BINGHAMTON, NY
1000 20001001 008995 000000 BIRMINGHAM, AL
1000 20011001 008452 000000 BIRMINGHAM, AL
1000 20021001 008808 000000 BIRMINGHAM, AL
1000 20031001 009222 000000 BIRMINGHAM, AL
1000 20050101 009198 000000 BIRMINGHAM, AL
1010 20001001 007759 000000 BISMARCK, ND
1010 20011001 007705 000000 BISMARCK, ND
1010 20021001 007984 000000 BISMARCK, ND
1010 20031001 007972 000000 BISMARCK, ND
1010 20050101 007505 000000 BISMARCK, ND
1020 20001001 008593 000000 BLOOMINGTON, IN
1020 20011001 008733 000000 BLOOMINGTON, IN
1020 20021001 008842 000000 BLOOMINGTON, IN
1020 20031001 008907 000000 BLOOMINGTON, IN
1020 20050101 008587 000000 BLOOMINGTON, IN
1040 20001001 008994 000000 BLOOMINGTON-NORMAL, IL
1040 20011001 009095 000000 BLOOMINGTON-NORMAL, IL
1040 20021001 009038 000000 BLOOMINGTON-NORMAL, IL
1040 20031001 009109 000000 BLOOMINGTON-NORMAL, IL
1040 20050101 009111 000000 BLOOMINGTON-NORMAL, IL
1080 20001001 009061 000000 BOISE CITY, ID
1080 20011001 009006 000000 BOISE CITY, ID
1080 20021001 009050 000000 BOISE CITY, ID
1080 20031001 009310 000000 BOISE CITY, ID
1080 20050101 009352 000000 BOISE CITY, ID
1123 20001001 011359 000000 BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, M
1123 20011001 011160 000000 BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, M
1123 20021001 011383 000000 BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, M
1123 20031001 011235 000000 BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, M
1123 20050101 011290 000000 BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, M
1125 20001001 009945 000000 BOULDER-LONGMONT, CO
1125 20011001 009731 000000 BOULDER-LONGMONT, CO
1125 20021001 009799 000000 BOULDER-LONGMONT, CO
1125 20031001 009689 000000 BOULDER-LONGMONT, CO
1125 20050101 010046 000000 BOULDER-LONGMONT, CO
1145 20001001 008517 000000 BRAZORIA, TX
1145 20011001 008658 000000 BRAZORIA, TX
1145 20021001 008209 000000 BRAZORIA, TX
1145 20031001 008535 000000 BRAZORIA, TX
1145 20050101 008524 000000 BRAZORIA, TX
1150 20001001 011012 000000 BREMERTON, WA
1150 20011001 010975 000000 BREMERTON, WA
1150 20021001 010758 000000 BREMERTON, WA
1150 20031001 010944 000000 BREMERTON, WA
1150 20050101 010614 000000 BREMERTON, WA
1240 20001001 009213 000000 BROWNSVILLE-HARLINGEN-SAN BENITO, TX
1240 20011001 008722 000000 BROWNSVILLE-HARLINGEN-SAN BENITO, TX
1240 20021001 009012 000000 BROWNSVILLE-HARLINGEN-SAN BENITO, TX
1240 20031001 008880 000000 BROWNSVILLE-HARLINGEN-SAN BENITO, TX
1240 20050101 010125 000000 BROWNSVILLE-HARLINGEN-SAN BENITO, TX
1260 20001001 008501 000000 BRYAN-COLLEGE STATION, TX
1260 20011001 008237 000000 BRYAN-COLLEGE STATION, TX
1260 20021001 009328 000000 BRYAN-COLLEGE STATION, TX
1260 20031001 008821 000000 BRYAN-COLLEGE STATION, TX
1260 20050101 009243 000000 BRYAN-COLLEGE STATION, TX
1280 20001001 009605 000000 BUFFALO-NIAGARA FALLS, NY
1280 20011001 009580 000000 BUFFALO-NIAGARA FALLS, NY
1280 20021001 009459 000000 BUFFALO-NIAGARA FALLS, NY
1280 20031001 009365 000000 BUFFALO-NIAGARA FALLS, NY
1280 20050101 009339 000000 BUFFALO-NIAGARA FALLS, NY
1303 20001001 010559 000000 BURLINGTON, VT
1303 20011001 010735 000000 BURLINGTON, VT
